subject,0BK_BODY_ACC,0BK_BODY_ACC_TARGET,0BK_BODY_ACC_NONTARGET,0BK_FACE_ACC,0BK_FACE_ACC_TARGET,0BK_FACE_ACC_NONTARGET,0BK_PLACE_ACC,0BK_PLACE_ACC_TARGET,0BK_PLACE_ACC_NONTARGET,0BK_TOOL_ACC,0BK_TOOL_ACC_TARGET,0BK_TOOL_ACC_NONTARGET,0BK_BODY_MEDIAN_RT,0BK_BODY_MEDIAN_RT_TARGET,0BK_BODY_MEDIAN_RT_NONTARGET,0BK_FACE_MEDIAN_RT,0BK_FACE_MEDIAN_RT_TARGET,0BK_FACE_MEDIAN_RT_NONTARGET,0BK_PLACE_MEDIAN_RT,0BK_PLACE_MEDIAN_RT_TARGET,0BK_PLACE_MEDIAN_RT_NONTARGET,0BK_TOOL_MEDIAN_RT,0BK_TOOL_MEDIAN_RT_TARGET,0BK_TOOL_MEDIAN_RT_NONTARGET,2BK_BODY_ACC,2BK_BODY_ACC_TARGET,2BK_BODY_ACC_NONTARGET,2BK_FACE_ACC,2BK_FACE_ACC_TARGET,2BK_FACE_ACC_NONTARGET,2BK_PLACE_ACC,2BK_PLACE_ACC_TARGET,2BK_PLACE_ACC_NONTARGET,2BK_TOOL_ACC,2BK_TOOL_ACC_TARGET,2BK_TOOL_ACC_NONTARGET,2BK_BODY_MEDIAN_RT,2BK_BODY_MEDIAN_RT_TARGET,2BK_BODY_MEDIAN_RT_NONTARGET,2BK_FACE_MEDIAN_RT,2BK_FACE_MEDIAN_RT_TARGET,2BK_FACE_MEDIAN_RT_NONTARGET,2BK_PLACE_MEDIAN_RT,2BK_PLACE_MEDIAN_RT_TARGET,2BK_PLACE_MEDIAN_RT_NONTARGET,2BK_TOOL_MEDIAN_RT,2BK_TOOL_MEDIAN_RT_TARGET,2BK_TOOL_MEDIAN_RT_NONTARGET,
100307,0.9,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.0,0.875,839.0,1048.5,813.0,699.0,640.0,736.5,740.0,901.0,700.5,1005.0,nan,1005.0,0.5,0.0,0.666666666667,1.0,1.0,1.0,0.875,0.5,1.0,0.75,1.0,0.666666666667,1204.5,nan,1204.5,754.5,754.5,737.5,819.0,1037.0,810.0,781.0,716.0,906.0,
101006,0.7,0.5,0.75,0.8,0.5,0.875,1.0,1.0,1.0,1.0,1.0,1.0,838.0,838.0,823.0,763.0,1011.0,751.0,622.0,575.5,632.5,563.5,563.5,546.0,0.5,0.0,0.666666666667,0.875,0.5,1.0,0.75,0.0,1.0,0.625,0.0,0.833333333333,999.0,nan,999.0,557.0,688.0,542.5,633.5,nan,633.5,619.0,nan,619.0,
102008,0.9,0.5,1.0,0.9,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,816.0,838.0,774.0,725.0,830.0,725.0,656.0,691.5,630.5,574.0,607.0,566.5,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,898.0,840.0,899.0,823.5,698.5,823.5,793.0,807.5,793.0,928.0,815.0,1005.0,
107422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,745.0,1005.0,724.0,796.0,821.0,787.5,675.5,725.5,633.0,626.0,621.5,626.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1263.5,1455.5,1207.5,968.0,976.0,968.0,791.5,1035.0,713.5,904.0,887.0,925.5,
108323,0.8,0.5,0.875,0.6,0.5,0.625,0.6,0.0,0.75,0.7,0.0,0.875,1110.0,1834.0,1094.0,797.5,889.0,789.0,841.5,nan,841.5,784.0,nan,784.0,0.625,0.5,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,1132.0,1132.0,1444.0,816.5,638.0,880.0,864.5,741.5,885.0,1250.0,1161.5,1348.0,
111312,1.0,1.0,1.0,0.6,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,714.5,768.5,714.5,711.0,nan,711.0,672.5,715.0,672.5,668.5,763.0,656.5,0.625,1.0,0.5,0.625,0.5,0.666666666667,0.875,0.5,1.0,0.875,1.0,0.833333333333,1064.0,1736.0,1045.0,788.0,551.0,805.5,995.0,1078.0,900.0,832.0,804.0,863.0,
111413,0.9,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,817.0,817.0,778.5,756.5,1005.0,756.5,598.0,490.5,619.0,563.5,564.0,551.0,0.5,0.5,0.5,0.75,0.5,0.833333333333,0.75,0.5,0.833333333333,0.875,1.0,0.833333333333,1122.5,605.0,1184.0,953.0,618.0,1035.0,930.5,756.0,982.0,1109.0,818.0,1251.0,
113619,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,1.0,1.0,1.0,1.0,900.0,1095.0,849.0,936.5,752.5,1205.0,982.0,1213.0,929.5,811.0,815.0,753.0,0.625,0.5,0.666666666667,1.0,1.0,1.0,0.875,0.5,1.0,0.875,1.0,0.833333333333,1588.0,1173.0,1670.5,1097.5,1287.0,983.5,1003.0,1160.0,990.5,1264.0,1071.0,1301.0,
113821,0.9,0.5,1.0,0.8,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,715.0,630.0,745.0,653.0,665.0,653.0,655.0,724.0,608.0,657.5,1024.5,619.5,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,1222.0,1239.5,1126.0,806.5,544.5,865.0,985.5,1203.5,926.0,1007.0,873.0,1007.0,
115320,0.8,0.5,0.875,0.9,1.0,0.875,1.0,1.0,1.0,0.5,0.0,0.625,1148.5,1547.0,1046.0,747.0,593.5,783.0,741.0,545.5,927.0,1057.0,nan,1057.0,0.375,0.0,0.5,0.75,1.0,0.666666666667,0.875,0.5,1.0,0.75,1.0,0.666666666667,1460.0,nan,1460.0,1174.5,907.0,1407.5,892.0,648.0,1001.0,834.0,827.5,834.0,
118528,0.9,1.0,0.875,0.6,0.0,0.75,1.0,1.0,1.0,0.9,1.0,0.875,1276.0,1477.5,1271.0,1002.0,nan,1002.0,635.5,862.0,624.5,679.0,712.0,679.0,0.875,1.0,0.833333333333,0.875,1.0,0.833333333333,0.875,0.5,1.0,0.875,1.0,0.833333333333,1290.0,1308.5,1274.0,739.0,1002.0,739.0,1202.0,1714.0,1043.0,735.0,686.5,808.0,
118730,0.8,0.5,0.875,0.6,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,809.5,731.0,835.0,1254.0,nan,1254.0,711.0,683.0,730.5,807.5,854.0,725.0,0.5,0.0,0.666666666667,0.75,0.5,0.833333333333,0.875,0.5,1.0,1.0,1.0,1.0,1196.5,nan,1196.5,1014.5,904.0,1125.0,940.0,526.0,970.5,1064.0,1023.5,1064.0,
118932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,891.0,1035.5,891.0,896.0,730.5,916.0,686.5,721.5,680.5,724.5,734.5,701.0,0.625,0.5,0.666666666667,0.875,1.0,0.833333333333,0.875,0.5,1.0,0.5,0.0,0.666666666667,1304.0,1396.0,1283.0,936.0,1102.0,936.0,1033.0,1234.0,1014.0,1015.0,nan,1015.0,
120515,0.5,0.5,0.5,0.7,1.0,0.625,0.8,1.0,0.75,0.4,0.0,0.5,1163.0,1765.0,1141.5,1070.0,1174.5,1070.0,1384.5,784.0,1543.5,1150.5,nan,1150.5,0.5,0.5,0.5,0.625,0.5,0.666666666667,0.75,0.5,0.833333333333,0.625,1.0,0.5,1235.5,1437.0,1034.0,1253.0,839.0,1539.5,1049.5,985.0,1090.0,1131.0,1142.0,1131.0,
122317,0.5,0.5,0.5,0.7,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1259.0,1259.0,1195.0,1490.0,1490.0,1459.0,1059.5,1186.0,1035.0,732.0,912.0,690.5,0.875,1.0,0.833333333333,0.625,1.0,0.5,0.875,0.5,1.0,0.75,0.5,0.833333333333,1591.0,1448.0,1591.0,1319.0,1066.5,1631.0,1110.0,1450.0,1092.0,1370.0,1004.0,1549.0,
122620,0.9,1.0,0.875,1.0,1.0,1.0,0.8,0.0,1.0,1.0,1.0,1.0,780.0,1100.5,750.0,812.0,655.0,843.0,789.5,nan,789.5,776.0,668.5,828.5,0.75,0.0,1.0,0.875,0.5,1.0,0.875,0.5,1.0,0.875,1.0,0.833333333333,989.0,nan,989.0,1003.0,807.0,1029.5,1136.0,1136.0,1246.5,986.0,1044.5,986.0,
127933,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1037.0,nan,1037.0,859.5,774.5,941.5,795.0,788.5,801.0,793.0,643.5,838.0,0.5,0.0,0.666666666667,0.75,1.0,0.666666666667,1.0,1.0,1.0,0.875,1.0,0.833333333333,1146.5,nan,1146.5,1161.5,1097.0,1161.5,1096.5,1050.5,1096.5,1239.0,985.0,1325.0,
129028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1213.5,1266.0,1213.5,998.0,930.0,1038.5,1007.0,889.5,1046.0,910.0,931.0,906.5,0.75,0.5,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,1514.5,1305.0,1700.0,1258.5,1258.5,1271.5,1043.5,1157.5,1043.5,1233.0,1282.5,1233.0,
